City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
143,Lipari,IT,38.4674,14.954,81.09,71,0,4.0,clear sky,2021-07-28 03:31:44
144,Xinqing,CN,48.2333,129.5,88.27,47,64,8.46,light rain,2021-07-28 03:31:44
145,Luderitz,NA,-26.6481,15.1594,54.27,73,0,10.96,clear sky,2021-07-28 03:31:44
146,Nemuro,JP,43.3236,145.575,86.43,88,24,10.13,few clouds,2021-07-28 03:29:05
147,Moyale,KE,3.5167,39.0584,61.84,73,96,11.23,overcast clouds,2021-07-28 03:31:45
148,Kalmunai,LK,7.4167,81.8167,87.13,57,100,3.6,overcast clouds,2021-07-28 03:31:45
149,Carnarvon,AU,-24.8667,113.6333,69.87,54,90,10.36,overcast clouds,2021-07-28 03:31:45
150,Isperih,BG,43.7167,26.8333,70.99,46,0,6.49,clear sky,2021-07-28 03:31:46
151,Te Anau,NZ,-45.4167,167.7167,51.4,75,91,3.38,overcast clouds,2021-07-28 03:31:46
152,Musoma,TZ,-1.5,33.8,68.86,63,91,4.07,overcast clouds,2021-07-28 03:31:47
153,Avarua,CK,-21.2078,-159.775,77.05,65,21,4.61,few clouds,2021-07-28 03:29:05
154,Bhadasar,IN,28.2833,74.3167,84.7,70,100,12.03,overcast clouds,2021-07-28 03:31:47
155,Vardo,NO,70.3705,31.1107,46.6,85,95,13.58,overcast clouds,2021-07-28 03:31:47
156,Hokitika,NZ,-42.7167,170.9667,52.79,87,100,4.27,overcast clouds,2021-07-28 03:31:48
157,Vazante,BR,-17.9869,-46.9078,63.68,42,3,0.54,clear sky,2021-07-28 03:31:48
158,Yumen,CN,40.2833,97.2,88.02,13,0,8.46,clear sky,2021-07-28 03:31:49
159,Hithadhoo,MV,-0.6,73.0833,80.74,78,61,9.01,broken clouds,2021-07-28 03:29:07
160,Castro,BR,-24.7911,-50.0119,44.19,91,99,7.29,overcast clouds,2021-07-28 03:31:49
161,Ikongo,MG,-21.8833,47.4333,58.14,91,85,1.14,overcast clouds,2021-07-28 03:31:49
162,Namatanai,PG,-3.6667,152.4333,84.76,67,38,5.39,scattered clouds,2021-07-28 03:31:50
163,Norman Wells,CA,65.282,-126.8329,66.24,63,75,4.61,broken clouds,2021-07-28 03:30:02
164,Kibre Mengist,ET,5.8833,38.9833,57.45,88,100,2.64,overcast clouds,2021-07-28 03:31:50
165,Amnat Charoen,TH,15.9167,104.75,88.41,65,100,14.88,overcast clouds,2021-07-28 03:31:51
166,Ulladulla,AU,-35.35,150.4667,71.87,45,77,16.35,broken clouds,2021-07-28 03:31:51
167,Viedma,AR,-40.8135,-62.9967,44.22,68,85,16.04,overcast clouds,2021-07-28 03:31:51
168,Rawson,AR,-43.3002,-65.1023,41.25,67,23,11.23,few clouds,2021-07-28 03:27:06
169,Eureka,US,40.8021,-124.1637,59.13,76,100,1.01,overcast clouds,2021-07-28 03:31:52
170,Isangel,VU,-19.55,169.2667,78.91,53,40,11.5,scattered clouds,2021-07-28 03:30:58
171,Saint George,US,37.1041,-113.5841,91.63,33,1,7.0,clear sky,2021-07-28 03:31:39
172,Vaitape,PF,-16.5167,-151.75,77.4,76,70,7.92,light rain,2021-07-28 03:31:53
173,Bodo,NO,67.28,14.405,64.78,84,0,13.8,clear sky,2021-07-28 03:31:53
174,Alice Springs,AU,-23.7,133.8833,74.75,21,90,11.99,overcast clouds,2021-07-28 03:29:44
175,Uusikaupunki,FI,60.8004,21.4084,66.72,64,100,7.83,overcast clouds,2021-07-28 03:31:54
176,Charala,CO,6.2858,-73.1472,63.57,97,88,2.51,overcast clouds,2021-07-28 03:31:54
177,Torbay,CA,47.6666,-52.7314,66.97,96,90,16.11,overcast clouds,2021-07-28 03:31:54
178,Narsaq,GL,60.9167,-46.05,44.82,72,99,3.8,overcast clouds,2021-07-28 03:31:55
179,Pevek,RU,69.7008,170.3133,39.33,84,97,11.86,overcast clouds,2021-07-28 03:31:55
180,West Wendover,US,40.7391,-114.0733,87.01,30,1,3.44,clear sky,2021-07-28 03:31:55
181,Paracelis,PH,17.2667,121.4667,87.66,64,92,4.59,moderate rain,2021-07-28 03:31:56
182,Nanortalik,GL,60.1432,-45.2371,43.63,85,100,3.53,overcast clouds,2021-07-28 03:31:56
183,General Salgado,BR,-20.6483,-50.3606,58.33,75,17,9.1,few clouds,2021-07-28 03:31:57
184,Seoul,KR,37.5683,126.9778,93.61,50,40,3.44,scattered clouds,2021-07-28 03:28:39
185,Nouadhibou,MR,20.931,-17.0347,68.04,92,13,23.69,few clouds,2021-07-28 03:31:57
186,Brainerd,US,46.358,-94.2008,79.05,83,1,5.75,clear sky,2021-07-28 03:31:58
187,Derzhavinsk,KZ,51.1,66.3167,71.98,30,8,11.56,clear sky,2021-07-28 03:31:58
188,Meulaboh,ID,4.1363,96.1285,84.49,68,48,2.37,scattered clouds,2021-07-28 03:31:58
189,Mindelo,CV,16.8901,-24.9804,76.55,69,75,12.66,broken clouds,2021-07-28 03:31:59
190,Srednekolymsk,RU,67.45,153.6833,38.26,97,100,8.59,light rain,2021-07-28 03:31:59
191,Puerto Colombia,CO,10.9878,-74.9547,77.09,84,99,5.01,overcast clouds,2021-07-28 03:32:00
192,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,17.27,few clouds,2021-07-28 03:31:30
193,Gizo,SB,-8.103,156.8419,83.52,71,88,6.17,light rain,2021-07-28 03:32:01
194,Kieta,PG,-6.2167,155.6333,83.55,72,94,4.45,light rain,2021-07-28 03:32:01
195,Rorvik,NO,64.8621,11.2373,62.64,66,96,10.65,overcast clouds,2021-07-28 03:32:02
196,Leningradskiy,RU,69.3833,178.4167,33.58,98,100,9.89,moderate rain,2021-07-28 03:30:08
197,Portland,US,45.5234,-122.6762,84.2,44,40,1.01,scattered clouds,2021-07-28 03:30:23
198,Mangrol,IN,21.1167,70.1167,82.26,84,100,22.82,overcast clouds,2021-07-28 03:32:02
199,Cabra,ES,37.4725,-4.4421,75.9,54,0,3.06,clear sky,2021-07-28 03:29:58
200,Matane,CA,48.8286,-67.522,59.85,1,71,12.03,broken clouds,2021-07-28 03:32:03
201,Gamba,GA,-2.65,10.0,72.45,86,98,1.61,overcast clouds,2021-07-28 03:32:03
202,Karlskrona,SE,56.1616,15.5866,61.25,91,40,6.31,scattered clouds,2021-07-28 03:32:04
203,Bintulu,MY,3.1667,113.0333,90.01,70,40,5.75,scattered clouds,2021-07-28 03:32:04
204,Astoria,US,46.1879,-123.8313,66.47,82,1,1.01,clear sky,2021-07-28 03:32:05
205,Bom Jesus,BR,-9.0744,-44.3586,68.32,56,18,2.01,few clouds,2021-07-28 03:32:05
206,College,US,64.8569,-147.8028,59.58,91,90,3.44,light rain,2021-07-28 03:32:05
207,Eirunepe,BR,-6.6603,-69.8736,75.31,78,79,0.81,broken clouds,2021-07-28 03:32:06
208,Qadian,IN,31.8178,75.3919,77.29,97,100,11.01,heavy intensity rain,2021-07-28 03:32:06
209,Sao Filipe,CV,14.8961,-24.4956,73.83,82,9,8.72,clear sky,2021-07-28 03:29:23
210,Yellowknife,CA,62.456,-114.3525,61.29,51,40,0.0,scattered clouds,2021-07-28 03:28:27
